Store,Date,Weekly Sales,Weekly Sales - Ave.,Holiday Flag,Temperature,Temp - Ave.,Fuel Price,Fuel Price - Ave.,CPI,CPI - Ave.,Unemployment,Unemployment - Ave.,Day,Month,Year
1,2011-01-21,"$1,327,405.42","-$227,858.98",0,44.04,-24.27,3.016,-0.204,211.8272343,-4.1696575,7.742,0.132,21,01,2011
1,2011-01-28,"$1,316,899.31","-$238,365.09",0,43.83,-24.48,3.01,-0.210,212.1970577,-3.7998341,7.742,0.132,28,01,2011
1,2011-02-04,"$1,606,629.58","$51,365.18",0,42.27,-26.04,2.989,-0.231,212.5668812,-3.4300106,7.742,0.132,04,02,2011
1,2011-02-11,"$1,649,614.93","$94,350.53",1,36.39,-31.92,3.022,-0.198,212.9367046,-3.0601872,7.742,0.132,11,02,2011
1,2011-02-18,"$1,686,842.78","$131,578.38",0,57.36,-10.95,3.045,-0.175,213.2478853,-2.7490065,7.742,0.132,18,02,2011
1,2011-02-25,"$1,456,800.28","-$98,464.12",0,62.9,-5.41,3.065,-0.155,213.535609,-2.4612828,7.742,0.132,25,02,2011
1,2011-03-04,"$1,636,263.41","$80,999.01",0,59.58,-8.73,3.288,0.068,213.8233327,-2.1735591,7.742,0.132,04,03,2011
1,2011-03-11,"$1,553,191.63","-$2,072.77",0,53.56,-14.75,3.459,0.239,214.1110564,-1.8858354,7.742,0.132,11,03,2011
1,2011-03-18,"$1,576,818.06","$21,553.66",0,62.76,-5.55,3.488,0.268,214.3627114,-1.6341804,7.742,0.132,18,03,2011
1,2011-03-25,"$1,541,102.38","-$14,162.02",0,69.97,1.66,3.473,0.253,214.5999389,-1.3969529,7.742,0.132,25,03,2011
1,2011-04-01,"$1,495,064.75","-$60,199.65",0,59.17,-9.14,3.524,0.304,214.8371664,-1.1597254,7.682,0.072,01,04,2011
1,2011-04-08,"$1,614,259.35","$58,994.95",0,67.84,-0.47,3.622,0.402,215.0743939,-0.9224979,7.682,0.072,08,04,2011
1,2011-04-15,"$1,559,889.00","$4,624.60",0,71.27,2.96,3.743,0.523,215.2918561,-0.7050357,7.682,0.072,15,04,2011
1,2011-04-22,"$1,564,819.81","$9,555.41",0,72.99,4.68,3.807,0.587,215.4599053,-0.5369865,7.682,0.072,22,04,2011
1,2011-04-29,"$1,455,090.69","-$100,173.71",0,72.03,3.72,3.81,0.590,215.6279544,-0.3689374,7.682,0.072,29,04,2011
1,2011-05-06,"$1,629,391.28","$74,126.88",0,64.61,-3.70,3.906,0.686,215.7960035,-0.2008883,7.682,0.072,06,05,2011
1,2011-05-13,"$1,604,775.58","$49,511.18",0,75.64,7.33,3.899,0.679,215.9640526,-0.0328392,7.682,0.072,13,05,2011
1,2011-05-20,"$1,428,218.27","-$127,046.13",0,67.63,-0.68,3.907,0.687,215.7339202,-0.2629716,7.682,0.072,20,05,2011
1,2011-05-27,"$1,466,046.67","-$89,217.73",0,77.72,9.41,3.786,0.566,215.5037878,-0.4931040,7.682,0.072,27,05,2011
1,2011-06-03,"$1,635,078.41","$79,814.01",0,83,14.69,3.699,0.479,215.2736553,-0.7232365,7.682,0.072,03,06,2011
1,2011-06-10,"$1,588,948.32","$33,683.92",0,83.13,14.82,3.648,0.428,215.0435229,-0.9533689,7.682,0.072,10,06,2011
1,2011-06-17,"$1,532,114.86","-$23,149.54",0,86.41,18.10,3.637,0.417,214.9980596,-0.9988322,7.682,0.072,17,06,2011
1,2011-06-24,"$1,438,830.15","-$116,434.25",0,83.58,15.27,3.594,0.374,215.0910982,-0.9057936,7.682,0.072,24,06,2011
1,2011-07-01,"$1,488,538.09","-$66,726.31",0,85.55,17.24,3.524,0.304,215.1841368,-0.8127550,7.962,0.352,01,07,2011
1,2011-07-08,"$1,534,849.64","-$20,414.76",0,85.83,17.52,3.48,0.260,215.2771754,-0.7197164,7.962,0.352,08,07,2011
1,2011-07-15,"$1,455,119.97","-$100,144.43",0,88.54,20.23,3.575,0.355,215.3611087,-0.6357831,7.962,0.352,15,07,2011
1,2011-07-22,"$1,396,926.82","-$158,337.58",0,85.77,17.46,3.651,0.431,215.4222784,-0.5746134,7.962,0.352,22,07,2011
1,2011-07-29,"$1,352,219.79","-$203,044.61",0,86.83,18.52,3.682,0.462,215.4834482,-0.5134436,7.962,0.352,29,07,2011
1,2011-08-05,"$1,624,383.75","$69,119.35",0,91.65,23.34,3.684,0.464,215.544618,-0.4522738,7.962,0.352,05,08,2011
1,2011-08-12,"$1,525,147.09","-$30,117.31",0,90.76,22.45,3.638,0.418,215.6057878,-0.3911040,7.962,0.352,12,08,2011
1,2011-08-19,"$1,530,761.43","-$24,502.97",0,89.94,21.63,3.554,0.334,215.6693107,-0.3275811,7.962,0.352,19,08,2011
1,2011-08-26,"$1,464,693.46","-$90,570.94",0,87.96,19.65,3.523,0.303,215.7332258,-0.2636660,7.962,0.352,26,08,2011
1,2011-09-02,"$1,550,229.22","-$5,035.18",0,87.83,19.52,3.533,0.313,215.7971409,-0.1997509,7.962,0.352,02,09,2011
1,2011-09-09,"$1,540,471.24","-$14,793.16",1,76,7.69,3.546,0.326,215.861056,-0.1358358,7.962,0.352,09,09,2011
1,2011-09-16,"$1,514,259.78","-$41,004.62",0,79.94,11.63,3.526,0.306,216.0410526,0.0441608,7.962,0.352,16,09,2011
1,2011-09-23,"$1,380,020.27","-$175,244.13",0,75.8,7.49,3.467,0.247,216.3758246,0.3789328,7.962,0.352,23,09,2011
1,2011-09-30,"$1,394,561.83","-$160,702.57",0,79.69,11.38,3.355,0.135,216.7105965,0.7137047,7.962,0.352,30,09,2011
1,2011-10-07,"$1,630,989.95","$75,725.55",0,69.31,1.00,3.285,0.065,217.0453684,1.0484766,7.866,0.256,07,10,2011
1,2011-10-14,"$1,493,525.93","-$61,738.47",0,71.74,3.43,3.274,0.054,217.3552733,1.3583815,7.866,0.256,14,10,2011
1,2011-10-21,"$1,502,562.78","-$52,701.62",0,63.71,-4.60,3.353,0.133,217.5159762,1.5190844,7.866,0.256,21,10,2011
1,2011-10-28,"$1,445,249.09","-$110,015.31",0,66.57,-1.74,3.372,0.152,217.6766791,1.6797873,7.866,0.256,28,10,2011
1,2011-11-04,"$1,697,229.58","$141,965.18",0,54.98,-13.33,3.332,0.112,217.837382,1.8404902,7.866,0.256,04,11,2011
1,2011-11-11,"$1,594,938.89","$39,674.49",0,59.11,-9.20,3.297,0.077,217.9980849,2.0011931,7.866,0.256,11,11,2011
1,2011-11-18,"$1,539,483.70","-$15,780.70",0,62.25,-6.06,3.308,0.088,218.2205088,2.2236170,7.866,0.256,18,11,2011
1,2011-11-25,"$2,033,320.66","$478,056.26",1,60.14,-8.17,3.236,0.016,218.4676211,2.4707293,7.866,0.256,25,11,2011
1,2011-12-02,"$1,584,083.95","$28,819.55",0,48.91,-19.40,3.172,-0.048,218.7147333,2.7178415,7.866,0.256,02,12,2011
1,2011-12-09,"$1,799,682.38","$244,417.98",0,43.93,-24.38,3.158,-0.062,218.9618456,2.9649538,7.866,0.256,09,12,2011
1,2011-12-16,"$1,881,176.67","$325,912.27",0,51.63,-16.68,3.159,-0.061,219.1794533,3.1825615,7.866,0.256,16,12,2011
1,2011-12-23,"$2,270,188.99","$714,924.59",0,47.96,-20.35,3.112,-0.108,219.3577216,3.3608298,7.866,0.256,23,12,2011
1,2011-12-30,"$1,497,462.72","-$57,801.68",1,44.55,-23.76,3.129,-0.091,219.5359898,3.5390980,7.866,0.256,30,12,2011
1,2012-01-06,"$1,550,369.92","-$4,894.48",0,49.01,-19.30,3.157,-0.063,219.7142581,3.7173663,7.348,-0.262,06,01,2012
1,2012-01-13,"$1,459,601.17","-$95,663.23",0,48.53,-19.78,3.261,0.041,219.8925263,3.8956345,7.348,-0.262,13,01,2012
1,2012-01-20,"$1,394,393.84","-$160,870.56",0,54.11,-14.20,3.268,0.048,219.9856893,3.9887975,7.348,-0.262,20,01,2012
1,2012-01-27,"$1,319,325.59","-$235,938.81",0,54.26,-14.05,3.29,0.070,220.0788523,4.0819605,7.348,-0.262,27,01,2012
1,2012-02-03,"$1,636,339.65","$81,075.25",0,56.55,-11.76,3.36,0.140,220.1720153,4.1751235,7.348,-0.262,03,02,2012
1,2012-02-10,"$1,802,477.43","$247,213.03",1,48.02,-20.29,3.409,0.189,220.2651783,4.2682865,7.348,-0.262,10,02,2012
1,2012-02-17,"$1,819,870.00","$264,605.60",0,45.32,-22.99,3.51,0.290,220.4257586,4.4288668,7.348,-0.262,17,02,2012
1,2012-02-24,"$1,539,387.83","-$15,876.57",0,57.25,-11.06,3.555,0.335,220.636902,4.6400102,7.348,-0.262,24,02,2012
1,2012-03-02,"$1,688,420.76","$133,156.36",0,60.96,-7.35,3.63,0.410,220.8480454,4.8511536,7.348,-0.262,02,03,2012
1,2012-03-09,"$1,675,431.16","$120,166.76",0,58.76,-9.55,3.669,0.449,221.0591887,5.0622969,7.348,-0.262,09,03,2012
1,2012-03-16,"$1,677,472.78","$122,208.38",0,64.74,-3.57,3.734,0.514,221.2118132,5.2149214,7.348,-0.262,16,03,2012
1,2012-03-23,"$1,511,068.07","-$44,196.33",0,65.93,-2.38,3.787,0.567,221.2864126,5.2895208,7.348,-0.262,23,03,2012
1,2012-03-30,"$1,649,604.63","$94,340.23",0,67.61,-0.70,3.845,0.625,221.3610119,5.3641201,7.348,-0.262,30,03,2012
1,2012-04-06,"$1,899,676.88","$344,412.48",0,70.43,2.12,3.891,0.671,221.4356112,5.4387194,7.143,-0.467,06,04,2012
1,2012-04-13,"$1,621,031.70","$65,767.30",0,69.07,0.76,3.891,0.671,221.5102105,5.5133187,7.143,-0.467,13,04,2012
1,2012-04-20,"$1,521,577.87","-$33,686.53",0,66.76,-1.55,3.877,0.657,221.5640737,5.5671819,7.143,-0.467,20,04,2012
1,2012-04-27,"$1,468,928.37","-$86,336.03",0,67.23,-1.08,3.814,0.594,221.6179368,5.6210450,7.143,-0.467,27,04,2012
1,2012-05-04,"$1,684,519.99","$129,255.59",0,75.55,7.24,3.749,0.529,221.6718,5.6749082,7.143,-0.467,04,05,2012
1,2012-05-11,"$1,611,096.05","$55,831.65",0,73.77,5.46,3.688,0.468,221.7256632,5.7287714,7.143,-0.467,11,05,2012
1,2012-05-18,"$1,595,901.87","$40,637.47",0,70.33,2.02,3.63,0.410,221.742674,5.7457822,7.143,-0.467,18,05,2012
1,2012-05-25,"$1,555,444.55",$180.15,0,77.22,8.91,3.561,0.341,221.744944,5.7480522,7.143,-0.467,25,05,2012
1,2012-06-01,"$1,624,477.58","$69,213.18",0,77.95,9.64,3.501,0.281,221.7472139,5.7503221,7.143,-0.467,01,06,2012
1,2012-06-08,"$1,697,230.96","$141,966.56",0,78.3,9.99,3.452,0.232,221.7494839,5.7525921,7.143,-0.467,08,06,2012
1,2012-06-15,"$1,630,607.00","$75,342.60",0,79.35,11.04,3.393,0.173,221.7626421,5.7657503,7.143,-0.467,15,06,2012
1,2012-06-22,"$1,527,845.81","-$27,418.59",0,78.39,10.08,3.346,0.126,221.8030211,5.8061293,7.143,-0.467,22,06,2012
1,2012-06-29,"$1,540,421.49","-$14,842.91",0,84.88,16.57,3.286,0.066,221.8434,5.8465082,7.143,-0.467,29,06,2012
1,2012-07-06,"$1,769,854.16","$214,589.76",0,81.57,13.26,3.227,0.007,221.8837789,5.8868871,6.908,-0.702,06,07,2012
1,2012-07-13,"$1,527,014.04","-$28,250.36",0,77.12,8.81,3.256,0.036,221.9241579,5.9272661,6.908,-0.702,13,07,2012
1,2012-07-20,"$1,497,954.76","-$57,309.64",0,80.42,12.11,3.311,0.091,221.9327267,5.9358349,6.908,-0.702,20,07,2012
1,2012-07-27,"$1,439,123.71","-$116,140.69",0,82.66,14.35,3.407,0.187,221.9412954,5.9444036,6.908,-0.702,27,07,2012
1,2012-08-03,"$1,631,135.79","$75,871.39",0,86.11,17.80,3.417,0.197,221.9498642,5.9529724,6.908,-0.702,03,08,2012
1,2012-08-10,"$1,592,409.97","$37,145.57",0,85.05,16.74,3.494,0.274,221.9584329,5.9615411,6.908,-0.702,10,08,2012
1,2012-08-17,"$1,597,868.05","$42,603.65",0,84.85,16.54,3.571,0.351,222.0384109,6.0415191,6.908,-0.702,17,08,2012
1,2012-08-24,"$1,494,122.38","-$61,142.02",0,77.66,9.35,3.62,0.400,222.1719457,6.1750539,6.908,-0.702,24,08,2012
1,2012-08-31,"$1,582,083.40","$26,819.00",0,80.49,12.18,3.638,0.418,222.3054805,6.3085887,6.908,-0.702,31,08,2012
1,2012-09-07,"$1,661,767.33","$106,502.93",1,83.96,15.65,3.73,0.510,222.4390153,6.4421235,6.908,-0.702,07,09,2012
1,2012-09-14,"$1,517,428.87","-$37,835.53",0,74.97,6.66,3.717,0.497,222.5820193,6.5851275,6.908,-0.702,14,09,2012
1,2012-09-21,"$1,506,126.06","-$49,138.34",0,69.87,1.56,3.721,0.501,222.7818386,6.7849468,6.908,-0.702,21,09,2012
1,2012-09-28,"$1,437,059.26","-$118,205.14",0,76.08,7.77,3.666,0.446,222.9816579,6.9847661,6.908,-0.702,28,09,2012
1,2012-10-05,"$1,670,785.97","$115,521.57",0,68.55,0.24,3.617,0.397,223.1814772,7.1845854,6.573,-1.037,05,10,2012
1,2012-10-12,"$1,573,072.81","$17,808.41",0,62.99,-5.32,3.601,0.381,223.3812965,7.3844047,6.573,-1.037,12,10,2012
1,2012-10-19,"$1,508,068.77","-$47,195.63",0,67.97,-0.34,3.594,0.374,223.4257233,7.4288315,6.573,-1.037,19,10,2012
1,2012-10-26,"$1,493,659.74","-$61,604.66",0,69.16,0.85,3.506,0.286,223.4442513,7.4473595,6.573,-1.037,26,10,2012
2,2010-02-05,"$2,136,989.46","$211,238.12",0,40.19,-28.03,2.572,-0.648,210.7526053,-4.8937053,8.324,0.700,05,02,2010
2,2010-02-12,"$2,137,809.50","$212,058.16",1,38.49,-29.73,2.548,-0.672,210.8979935,-4.7483171,8.324,0.700,12,02,2010
2,2010-02-19,"$2,124,451.54","$198,700.20",0,39.69,-28.53,2.514,-0.706,210.9451605,-4.7011501,8.324,0.700,19,02,2010
2,2010-02-26,"$1,865,097.27","-$60,654.07",0,46.1,-22.12,2.561,-0.659,210.9759573,-4.6703533,8.324,0.700,26,02,2010
2,2010-03-05,"$1,991,013.13","$65,261.79",0,47.17,-21.05,2.625,-0.595,211.0067542,-4.6395564,8.324,0.700,05,03,2010
2,2010-03-12,"$1,990,483.78","$64,732.44",0,57.56,-10.66,2.667,-0.553,211.037551,-4.6087596,8.324,0.700,12,03,2010
2,2010-03-19,"$1,946,070.88","$20,319.54",0,54.52,-13.70,2.72,-0.500,210.8733316,-4.7729790,8.324,0.700,19,03,2010
2,2010-03-26,"$1,750,197.81","-$175,553.53",0,51.26,-16.96,2.732,-0.488,210.6766095,-4.9697011,8.324,0.700,26,03,2010
2,2010-04-02,"$2,066,187.72","$140,436.38",0,63.27,-4.95,2.719,-0.501,210.4798874,-5.1664232,8.2,0.576,02,04,2010
2,2010-04-09,"$1,954,689.21","$28,937.87",0,65.41,-2.81,2.77,-0.450,210.2831653,-5.3631453,8.2,0.576,09,04,2010
2,2010-04-16,"$1,874,957.94","-$50,793.40",0,68.07,-0.15,2.808,-0.412,210.1495463,-5.4967643,8.2,0.576,16,04,2010
2,2010-04-23,"$1,821,990.93","-$103,760.41",0,65.11,-3.11,2.795,-0.425,210.1000648,-5.5462458,8.2,0.576,23,04,2010
2,2010-04-30,"$1,802,450.29","-$123,301.05",0,66.98,-1.24,2.78,-0.440,210.0505833,-5.5957273,8.2,0.576,30,04,2010
2,2010-05-07,"$2,042,581.71","$116,830.37",0,71.28,3.06,2.835,-0.385,210.0011018,-5.6452088,8.2,0.576,07,05,2010
2,2010-05-14,"$1,880,752.36","-$44,998.98",0,73.31,5.09,2.854,-0.366,209.9984585,-5.6478521,8.2,0.576,14,05,2010
2,2010-05-21,"$1,896,937.10","-$28,814.24",0,74.83,6.61,2.826,-0.394,210.2768443,-5.3694663,8.2,0.576,21,05,2010
2,2010-05-28,"$1,957,113.89","$31,362.55",0,81.13,12.91,2.759,-0.461,210.5552301,-5.0910805,8.2,0.576,28,05,2010
2,2010-06-04,"$2,102,539.93","$176,788.59",0,81.81,13.59,2.705,-0.515,210.833616,-4.8126946,8.2,0.576,04,06,2010
2,2010-06-11,"$2,025,538.76","$99,787.42",0,83.4,15.18,2.668,-0.552,211.1120018,-4.5343088,8.2,0.576,11,06,2010
2,2010-06-18,"$2,001,636.96","$75,885.62",0,85.81,17.59,2.637,-0.583,211.1096543,-4.5366563,8.2,0.576,18,06,2010
2,2010-06-25,"$1,939,927.09","$14,175.75",0,86.26,18.04,2.653,-0.567,210.9950134,-4.6512972,8.2,0.576,25,06,2010
2,2010-07-02,"$2,003,940.64","$78,189.30",0,82.74,14.52,2.669,-0.551,210.8803726,-4.7659380,8.099,0.475,02,07,2010
2,2010-07-09,"$1,880,902.62","-$44,848.72",0,82.59,14.37,2.642,-0.578,210.7657317,-4.8805789,8.099,0.475,09,07,2010
2,2010-07-16,"$1,845,879.79","-$79,871.55",0,85.32,17.10,2.623,-0.597,210.7577954,-4.8885152,8.099,0.475,16,07,2010
2,2010-07-23,"$1,781,717.71","-$144,033.63",0,87.66,19.44,2.608,-0.612,210.8921319,-4.7541787,8.099,0.475,23,07,2010
2,2010-07-30,"$1,804,246.16","-$121,505.18",0,83.49,15.27,2.64,-0.580,211.0264684,-4.6198422,8.099,0.475,30,07,2010
2,2010-08-06,"$1,991,909.98","$66,158.64",0,89.53,21.31,2.627,-0.593,211.1608049,-4.4855057,8.099,0.475,06,08,2010
2,2010-08-13,"$1,895,601.05","-$30,150.29",0,89.05,20.83,2.692,-0.528,211.2951413,-4.3511693,8.099,0.475,13,08,2010
2,2010-08-20,"$1,964,335.23","$38,583.89",0,88.7,20.48,2.664,-0.556,211.2596586,-4.3866520,8.099,0.475,20,08,2010
2,2010-08-27,"$1,863,840.49","-$61,910.85",0,87.12,18.90,2.619,-0.601,211.2241759,-4.4221347,8.099,0.475,27,08,2010
2,2010-09-03,"$1,904,608.09","-$21,143.25",0,81.83,13.61,2.577,-0.643,211.1886931,-4.4576175,8.099,0.475,03,09,2010
2,2010-09-10,"$1,839,128.83","-$86,622.51",1,79.09,10.87,2.565,-0.655,211.1532104,-4.4931002,8.099,0.475,10,09,2010
2,2010-09-17,"$1,793,903.60","-$131,847.74",0,82.05,13.83,2.582,-0.638,211.1806415,-4.4656691,8.099,0.475,17,09,2010
2,2010-09-24,"$1,724,557.22","-$201,194.12",0,81.79,13.57,2.624,-0.596,211.2552578,-4.3910528,8.099,0.475,24,09,2010
2,2010-10-01,"$1,827,440.43","-$98,310.91",0,69.24,1.02,2.603,-0.617,211.3298742,-4.3164364,8.163,0.539,01,10,2010
2,2010-10-08,"$1,849,921.44","-$75,829.90",0,63.19,-5.03,2.633,-0.587,211.4044906,-4.2418200,8.163,0.539,08,10,2010
2,2010-10-15,"$1,794,355.49","-$131,395.85",0,65.8,-2.42,2.72,-0.500,211.4713286,-4.1749820,8.163,0.539,15,10,2010
2,2010-10-22,"$1,737,947.64","-$187,803.70",0,68.5,0.28,2.725,-0.495,211.5187208,-4.1275898,8.163,0.539,22,10,2010
2,2010-10-29,"$1,802,755.11","-$122,996.23",0,66.24,-1.98,2.716,-0.504,211.5661131,-4.0801975,8.163,0.539,29,10,2010
2,2010-11-05,"$1,939,061.41","$13,310.07",0,57.85,-10.37,2.689,-0.531,211.6135053,-4.0328053,8.163,0.539,05,11,2010
2,2010-11-12,"$1,916,812.74","-$8,938.60",0,59.69,-8.53,2.728,-0.492,211.6608975,-3.9854131,8.163,0.539,12,11,2010
2,2010-11-19,"$1,956,739.17","$30,987.83",0,50.81,-17.41,2.771,-0.449,211.5470304,-4.0992802,8.163,0.539,19,11,2010
2,2010-11-26,"$2,658,725.29","$732,973.95",1,62.98,-5.24,2.735,-0.485,211.4062867,-4.2400239,8.163,0.539,26,11,2010
2,2010-12-03,"$2,015,781.27","$90,029.93",0,49.33,-18.89,2.708,-0.512,211.265543,-4.3807676,8.163,0.539,03,12,2010
